"rank","doc_index","topic_probability","topic_letter","topic_number"
11,20041,0.468943840040819,"GG",33
12,19821,0.464561239506195,"GG",33
13,22493,0.457484864393285,"GG",33
14,4433,0.457075985004639,"GG",33
15,25268,0.442225856284765,"GG",33
16,14794,0.433830199706356,"GG",33
17,15499,0.428747705470057,"GG",33
18,12765,0.427662619532253,"GG",33
19,22130,0.415715485299607,"GG",33
20,21785,0.414680890553672,"GG",33
21,12828,0.414597931845765,"GG",33
22,15381,0.412555669598223,"GG",33
23,16368,0.411600710989611,"GG",33
24,15961,0.410128567709755,"GG",33
25,16290,0.407085485308308,"GG",33
26,12708,0.403556958180316,"GG",33
27,15059,0.402646810521755,"GG",33
28,12425,0.402582329214276,"GG",33
29,25053,0.397543754139775,"GG",33
30,21401,0.396636744937817,"GG",33
31,20024,0.396181183133211,"GG",33
32,14378,0.39275317602026,"GG",33
33,9458,0.388331407226261,"GG",33
34,15175,0.386990515513266,"GG",33
35,23343,0.386986654862083,"GG",33
36,25698,0.385920059786961,"GG",33
37,10822,0.382306876019956,"GG",33
38,15032,0.382002673869799,"GG",33
39,14596,0.376899073253165,"GG",33
40,20950,0.37522677965713,"GG",33
41,11825,0.372905725711307,"GG",33
42,16015,0.37072140149953,"GG",33
43,22572,0.37014900798496,"GG",33
44,8952,0.36641171431166,"GG",33
45,8371,0.365073594933665,"GG",33
46,20864,0.36457139242498,"GG",33
47,12710,0.364147556281503,"GG",33
48,3219,0.362661772592159,"GG",33
49,17723,0.355340368295897,"GG",33
50,22846,0.352220435958151,"GG",33
1,23009,0.65421889622523,"KK",37
2,402,0.634427323894232,"KK",37
3,5473,0.631605613194991,"KK",37
4,10860,0.610799582410021,"KK",37
5,8608,0.59147702346088,"KK",37
6,3696,0.588036257606704,"KK",37
7,4902,0.586177391887627,"KK",37
8,3957,0.570521712338502,"KK",37
9,19075,0.569505061871518,"KK",37
10,6140,0.569479864811504,"KK",37
11,7661,0.553416163491642,"KK",37
12,10405,0.537388607208303,"KK",37
13,13638,0.532699244337873,"KK",37
14,9091,0.527600130941073,"KK",37
15,14531,0.521273658061565,"KK",37
16,8464,0.519046444046862,"KK",37
17,8574,0.515914085313282,"KK",37
18,8592,0.502535165891492,"KK",37
19,3572,0.501473235298625,"KK",37
20,21490,0.500767767489865,"KK",37
21,5465,0.499202048871274,"KK",37
22,10485,0.496462986022508,"KK",37
23,2642,0.491251385559042,"KK",37
24,13545,0.489700552888331,"KK",37
25,3042,0.486516340305417,"KK",37
26,5832,0.482527651527167,"KK",37
27,7438,0.479589442912592,"KK",37
28,10650,0.469001498462691,"KK",37
29,13898,0.468296145089058,"KK",37
30,8466,0.464883667825787,"KK",37
31,4653,0.458331334158984,"KK",37
32,8585,0.45776217778596,"KK",37
33,10089,0.455418298960715,"KK",37
34,12370,0.454977867620803,"KK",37
35,4532,0.452084890781893,"KK",37
36,5322,0.442919970610415,"KK",37
37,16797,0.442176237723536,"KK",37
38,1959,0.441572749159216,"KK",37
39,2572,0.436177593330995,"KK",37
40,4379,0.434075641283053,"KK",37
41,1645,0.433247018158232,"KK",37
42,21787,0.433099018328541,"KK",37
43,21988,0.431414724646847,"KK",37
44,4244,0.427744826457022,"KK",37
45,207,0.427433095990293,"KK",37
46,5555,0.426820747446488,"KK",37
47,4334,0.42552046354319,"KK",37
48,12640,0.423434288412297,"KK",37
49,16451,0.423203277385505,"KK",37
50,4925,0.422596958928527,"KK",37
1,6799,0.376938329404708,"TT",46
2,21091,0.366041192874222,"TT",46
3,4218,0.35103232668962,"TT",46
4,17686,0.341086682235475,"TT",46
5,20009,0.325041310484521,"TT",46
6,25410,0.323426605106652,"TT",46
7,19860,0.316295623906728,"TT",46
8,4555,0.304949904609489,"TT",46
9,1199,0.298711749544661,"TT",46
10,9898,0.297404201347564,"TT",46
11,11065,0.29534675989518,"TT",46
12,13633,0.289343925007592,"TT",46
13,8054,0.287722786943944,"TT",46
14,3770,0.285133016293749,"TT",46
15,7994,0.283029244646838,"TT",46
16,13047,0.282841680323877,"TT",46
17,10514,0.28120547420478,"TT",46
18,25148,0.278836670987779,"TT",46
19,16598,0.277915566557785,"TT",46
20,8060,0.277007941892052,"TT",46
21,6042,0.275580565019195,"TT",46
22,24552,0.275202515277184,"TT",46
23,23711,0.274749280430828,"TT",46
24,21932,0.274346962846665,"TT",46
25,25244,0.272329279994683,"TT",46
26,2331,0.270252104177327,"TT",46
27,8628,0.269181380493508,"TT",46
28,10917,0.269133237356856,"TT",46
29,14669,0.264613964758341,"TT",46
30,8319,0.261831095431905,"TT",46
31,4101,0.261394848921859,"TT",46
32,8338,0.260461162157908,"TT",46
33,10289,0.259171063388747,"TT",46
34,16793,0.258009670701729,"TT",46
35,23511,0.25658959080192,"TT",46
36,10214,0.254382549097928,"TT",46
37,1592,0.253962759138586,"TT",46
38,22844,0.253239169707634,"TT",46
39,17158,0.252552006733563,"TT",46
40,7101,0.250678328214624,"TT",46
41,25529,0.250657909056532,"TT",46
42,24307,0.249726215456506,"TT",46
43,19782,0.248945731014015,"TT",46
44,15606,0.248419690064394,"TT",46
45,4035,0.247678776372542,"TT",46
46,23048,0.247436610295925,"TT",46
47,7232,0.246453778873684,"TT",46
48,5099,0.244670094794664,"TT",46
49,5355,0.244349042279745,"TT",46
50,8898,0.244186564010643,"TT",46
1,9916,0.710207738152739,"UU",47
2,23900,0.701570596353521,"UU",47
3,9873,0.602503328249141,"UU",47
